# 2차 검사보고서 TC 인벤토리 (총 164) — CARRIED=1차 선별승계(검정,표0-16) / NEW=2차신규(보라,17절,표17-25)
# 형식: [분류] ID | 목표/입력 | 예상 | 실제 | 스크린샷유무

[CARRIED] 6.1-1 | [목표] 올바른 날짜 입력 후 정상 진행 (6.1절 정상 결과) 입력: "2026-04-05" | 예상: 날짜 저장 후 데이터 파일 무결성 확인 수행, 6.2절 화면 출력 | 실제:  | IMG
[CARRIED] 6.1-2 | [목표] 잘못된 형식 입력 시 재입력 대기 (6.1절 비정상) 입력: "2026/04/01" | 예상: !!! 오류: 날짜 형식이 올바르지 않습니다. 출력 후 재입력 대기 | 실제:  | IMG
[CARRIED] 6.1-3 | 입력: "26-04-01" | 예상: !!! 오류: 날짜 형식이 올바르지 않습니다. 출력 후 재입력 대기 | 실제: (좌동) | txt
[CARRIED] 6.1-4 | 입력: "abcd-ef-gh" | 예상: !!! 오류: 날짜 형식이 올바르지 않습니다. 출력 후 재입력 대기 | 실제: (좌동) | txt
[CARRIED] 6.1-5 | [목표] 존재하지 않는 날짜 입력 시 재입력 대기 (6.1절 비정상) 입력: "2026-02-30" | 예상: !!! 오류: 날짜 형식이 올바르지 않습니다. 출력 후 재입력 대기 | 실제: (좌동) | txt
[CARRIED] 6.1-6 | 입력: "2026-13-01" | 예상: !!! 오류: 날짜 형식이 올바르지 않습니다. 출력 후 재입력 대기 | 실제: (좌동) | txt
[CARRIED] 6.1-7 | [목표] 범위 경계 날짜 (5.2.5절 허용 범위 최솟값) 입력: "2000-01-01" | 예상: 날짜 저장 후 정상 진행 | 실제:  | IMG
[CARRIED] 6.1-8 | [목표] 범위 경계 날짜 (5.2.5절 허용 범위 최댓값) 입력: "2099-12-31" | 예상: 날짜 저장 후 정상 진행 | 실제:  | IMG
[CARRIED] 5.5-1 | [목표] 누락 파일 자동 생성 확인 (5.5절 파일 존재 확인 — students.txt) 입력: students.txt 파일 삭제 후 프로그램 실행 방법: 파일 탐색기로 삭제 후 실행 | 예상: 빈 students.txt 자동 생성, 정상 진행 | 실제: students.txt 자동 생성됨 — 프로그램 정상 실행 (파일 생성 동작 스크린샷 생략 가능) | txt
[CARRIED] 5.5-2 | [목표] 누락 파일 자동 생성 확인 (5.5절 — admins.txt) 입력: admins.txt 파일 삭제 후 프로그램 실행 방법: 파일 탐색기로 삭제 후 실행 | 예상: 기본 관리자 계정(admin01)이 포함된 admins.txt 자동 생성 | 실제: admins.txt 자동 생성됨 — 프로그램 정상 실행 (파일 생성 동작 스크린샷 생략 가능) | txt
[CARRIED] 5.5-4 | [목표] 누락 파일 자동 생성 확인 (5.5절 — colleges.txt) 입력: colleges.txt 삭제 후 프로그램 실행 | 예상: 기본 단과대/전공 목록 포함한 colleges.txt 자동 생성 | 실제: colleges.txt 자동 생성됨 — 프로그램 정상 실행 (파일 생성 동작 스크린샷 생략 가능) | txt
[CARRIED] 5.5-5 | [목표] 문법 규칙 위반 행 감지 후 종료 (5.5절 문법 규칙 검사) 입력: students.txt 특정 행에 필드 수 부족(쉼표 누락)하게 직접 편집 방법: 메모장으로 파일 편집 후 실행 | 예상: !!! 오류: students.txt [행번호]행 - 문법 형식이 올바르지 않습니다 출력 후 종료 | 실제: (좌동) | txt
[CARRIED] 5.5-6 | [목표] 문법 규칙 위반 행 감지 후 종료 (5.5절 — 완전히 빈 행) 입력: courses.txt에 빈 행 삽입 방법: 메모장으로 파일 편집 후 실행 | 예상: 문법 오류 메시지 출력 후 종료 | 실제:  | IMG
